>> Recipe detail
================================================================================
Recipe	Machine/count	Somersloop	Power	Ingredients	Products
替代：铀燃料单元	制造站 x 33.6	0	-6205.1MW	晶体振荡器 [-50.4/min]; 转子 [-168/min]; 电磁控制杆 [-168/min]; 封装铀棒 [-1680/min]	铀燃料棒 [50.4/min]
替代：再生塑料	精炼站 x 76.309	0	-7686.8MW	燃料 [-5723.146/min]; 橡胶 [-5723.146/min]	塑料 [11446.291/min]
替代：高纯度钦金锭	精炼站 x 136.267	0	-13726.6MW	水 [-8176.047/min]; 钦金矿石 [-8176.047/min]	钦金锭 [4088.023/min]
替代：高纯度铜锭	精炼站 x 893.547	0	-90009.3MW	水 [-22338.678/min]; 铜矿石 [-33508.017/min]	铜锭 [83770.042/min]
替代：高纯度铁锭	精炼站 x 914.398	0	-92109.6MW	水 [-45719.9/min]; 铁矿石 [-80009.825/min]	铁锭 [148589.674/min]
替代：纯石英晶体	精炼站 x 40.517	0	-4081.4MW	水 [-3798.449/min]; 粗石英 [-6837.208/min]	石英晶体 [5317.828/min]
替代：熔合急速电线	装配站 x 218.028	0	-10981.3MW	铜锭 [-20440.117/min]; 钦金锭 [-4088.023/min]	急速电线 [49056.282/min]
替代：再生橡胶	精炼站 x 95.985	0	-9668.8MW	燃料 [-7198.878/min]; 塑料 [-7198.878/min]	橡胶 [14397.756/min]
替代：拼接铁板	装配站 x 68.11	0	-3430.4MW	铁板 [-3192.659/min]; 电线 [-6385.317/min]	强化铁板 [957.798/min]
替代：硝基火箭燃料	混料站 x 24.976	0	-6289.8MW	煤 [-3122.025/min]; 燃料 [-6244.049/min]; 硫磺 [-6244.049/min]; 氮气 [-4683.037/min]	压缩煤 [1561.012/min]; 火箭燃料 [9366.074/min]
替代：铸铁螺丝	构筑站 x 149.778	0	-2011.7MW	铁锭 [-4680.559/min]	螺丝 [18722.237/min]
替代：粗制二氧化硅	装配站 x 118.45	0	-5965.9MW	石灰石 [-11104.654/min]; 粗石英 [-6662.792/min]	二氧化硅 [15546.516/min]
替代：氧化铝匀浆	精炼站 x 37.446	0	-3772MW	水 [-18722.957/min]; 铝土矿 [-18722.957/min]	氧化铝溶液 [22467.549/min]
替代：热压铜板	精炼站 x 434.944	0	-43813MW	水 [-24465.581/min]; 铜锭 [-24465.581/min]	铜板 [24465.581/min]
替代：铝制梁	构筑站 x 3.086	0	-41.4MW	铝锭 [-173.58/min]	钢梁 [173.58/min]
替代：浇铸梁	铸造站 x 6.102	0	-327.8MW	钢锭 [-1830.643/min]; 混凝土 [-1220.429/min]	钢梁 [686.491/min]
替代：铁制管道	构筑站 x 353.421	0	-4746.8MW	铁锭 [-88355.333/min]	钢管 [22088.833/min]
替代：超状态计算机	制造站 x 35.395	0	-6536.6MW	电线 [-5309.267/min]; 电池 [-2123.707/min]; 计算机 [-637.112/min]; 电磁控制杆 [-212.371/min]	超级计算机 [212.371/min]
替代：混合涡轮燃油	混料站 x 28.884	0	-7274MW	石油焦 [-1624.743/min]; 燃料 [-1083.162/min]; 硫磺 [-1624.743/min]; 重油残渣 [-2166.323/min]	涡轮燃油 [3249.485/min]
替代：涡轮电磁马达	制造站 x 8.024	0	-1481.9MW	马达 [-131.647/min]; 转子 [-131.647/min]; 电磁控制杆 [-94.034/min]; 无线电控制单元 [-169.261/min]	涡轮马达 [56.42/min]
涡轮燃油	精炼站 x 37.26	0	-3753.3MW	压缩煤 [-1397.242/min]; 燃料 [-2095.863/min]	涡轮燃油 [1746.553/min]
替代：混合型铀棒	制造站 x 33.6	0	-6205.1MW	急速电线 [-6300/min]; 二氧化硅 [-1260/min]; 硫磺 [-2100/min]; 铀 [-2100/min]	封装铀棒 [1680/min]
替代：塑性混凝土	精炼站 x 82.732	0	-8333.8MW	水 [-20683.064/min]; 石灰石 [-24819.676/min]	混凝土 [16546.451/min]
替代：铁制电线	构筑站 x 1601.383	0	-21508.2MW	铁锭 [-50043.228/min]	电线 [90077.811/min]
复合铝板	装配站 x 104.195	0	-5247.9MW	铝锭 [-7814.589/min]; 铜锭 [-2604.863/min]	复合铝板 [7814.589/min]
铝土矿（钦金）	转化站 x 13.872	0	-11644.8MW	钦金矿石 [-5202.044/min]; 活性SAM物质 [-346.803/min]	铝土矿 [4161.635/min]
铝土矿（铜）	转化站 x 7.538	0	-6327.5MW	铜矿石 [-3391.983/min]; 活性SAM物质 [-188.444/min]	铝土矿 [2261.322/min]
电缆	构筑站 x 341.159	0	-4582.1MW	电线 [-51173.782/min]	电缆 [25586.891/min]
煤（石灰石）	转化站 x 31.041	0	-26057.4MW	石灰石 [-27937.311/min]; 活性SAM物质 [-776.036/min]	煤 [9312.437/min]
铜粉	构筑站 x 45.136	0	-606.2MW	铜锭 [-33852.212/min]	铜粉 [5642.035/min]
电磁控制杆	装配站 x 88.363	0	-4450.5MW	AI限制器 [-883.631/min]; 定子 [-1325.446/min]	电磁控制杆 [883.631/min]
F金锭（铝）	转化站 x 5.629	0	-4725.3MW	铝锭 [-1688.724/min]; 活性SAM物质 [-844.362/min]	F金锭 [422.181/min]
F金三角	构筑站 x 16.887	0	-226.8MW	F金锭 [-422.181/min]	F金三角 [1266.543/min]
散热器	装配站 x 24.775	0	-1247.8MW	铜板 [-1393.566/min]; 复合铝板 [-2322.611/min]	散热器 [464.522/min]
活性SAM物质	构筑站 x 34	0	-456.7MW	SAM物质 [-10200/min]	活性SAM物质 [2550/min]
铁板	构筑站 x 164.113	0	-2204.2MW	铁锭 [-12308.503/min]	铁板 [8205.668/min]
硝酸	混料站 x 23.026	0	-5798.6MW	水 [-1726.935/min]; 铁板 [-575.645/min]; 氮气 [-6907.739/min]	硝酸 [1726.935/min]
氮气（钦金）	转化站 x 5.406	0	-4538.3MW	钦金矿石 [-1621.909/min]; 活性SAM物质 [-135.159/min]	氮气 [1621.909/min]
非裂变贫铀	混料站 x 20.16	0	-5076.9MW	铀废料 [-1890/min]; 硫酸 [-756/min]; 二氧化硅 [-1260/min]; 硝酸 [-756/min]	水 [756/min]; 非裂变贫铀 [2520/min]
桶装涡轮燃油	灌装站 x 64.654	0	-2170.9MW	涡轮燃油 [-3232.694/min]; 空桶 [-3232.694/min]	桶装涡轮燃油 [3232.694/min]
石油焦	精炼站 x 30.38	0	-3060.2MW	重油残渣 [-3037.975/min]	石油焦 [9113.925/min]
封装钚棒	装配站 x 30.24	0	-1523.1MW	混凝土 [-1512/min]; 钚丸 [-756/min]	封装钚棒 [378/min]
钚燃料棒	制造站 x 20.16	0	-3723.1MW	散热器 [-126/min]; 电磁控制杆 [-75.6/min]; 钢梁 [-226.8/min]; 封装钚棒 [-378/min]	钚燃料棒 [12.6/min]
钚丸	粒子加速站 x 10.08	0	-16923.1MW	铀废料 [-630/min]; 非裂变贫铀 [-2520/min]	钚丸 [756/min]
封压方块	装配站 x 11.284	0	-568.3MW	焊接模块化框架 [-28.21/min]; 无线电控制单元 [-56.42/min]	封压方块 [28.21/min]
替代：高纯度铝锭	冶炼站 x 249.639	0	-3352.9MW	碎铝渣 [-37445.914/min]	铝锭 [18722.957/min]
激发态光子物质	转化站 x 18.307	0	-15368MW		激发态光子物质 [9153.733/min]
无线电控制单元	制造站 x 36.109	0	-6668.5MW	铝制外壳 [-3610.903/min]; 计算机 [-225.681/min]; 晶体振荡器 [-112.841/min]	无线电控制单元 [225.681/min]
聚合橡胶	精炼站 x 84	0	-8461.5MW	水 [-8400/min]; 聚合树脂 [-8400/min]	橡胶 [4200/min]
火箭燃料	混料站 x 11.756	0	-2960.4MW	涡轮燃油 [-1763.344/min]; 硝酸 [-293.891/min]	压缩煤 [293.891/min]; 火箭燃料 [2938.906/min]
奇点电池	制造站 x 11.284	0	-2083.9MW	铁板 [-2821.018/min]; 混凝土 [-5642.035/min]; 暗物质晶体 [-564.204/min]; 核意面 [-28.21/min]	奇点电池 [282.102/min]
弹道跃迁引擎	制造站 x 22.568	90.273	-16671.2MW	叠加态振荡器 [-112.841/min]; 暗物质晶体 [-2256.814/min]; 奇点电池 [-282.102/min]; 热能推进火箭 [-56.42/min]	弹道跃迁引擎 [112.841/min]
AI拓展伺服器	量子编码站 x 3.16	3.16	-16577.9MW	激发态光子物质 [-789.952/min]; 叠加态振荡器 [-31.598/min]; 磁场发生器 [-31.598/min]; 神经量子处理器 [-31.598/min]	暗物质残渣 [987.44/min]; AI拓展伺服器 [39.498/min]
AI拓展伺服器	量子编码站 x 5.284	10.568	-39918.9MW	激发态光子物质 [-1320.953/min]; 叠加态振荡器 [-52.838/min]; 磁场发生器 [-52.838/min]; 神经量子处理器 [-52.838/min]	暗物质残渣 [1981.43/min]; AI拓展伺服器 [79.257/min]
智能嵌板	装配站 x 56.42	0	-2841.7MW	强化铁板 [-282.102/min]; 转子 [-282.102/min]	智能嵌板 [282.102/min]
自动化线缆	装配站 x 204.695	0	-10309.7MW	电缆 [-25586.891/min]; 定子 [-1279.345/min]	自动化线缆 [1279.345/min]
模块化引擎	制造站 x 56.42	0	-10419.5MW	橡胶 [-2115.763/min]; 马达 [-282.102/min]; 智能嵌板 [-282.102/min]	模块化引擎 [141.051/min]
自适应控制单元	制造站 x 102.348	0	-18901.2MW	电路板 [-1279.345/min]; 计算机 [-511.738/min]; 重型模块化框架 [-255.869/min]; 自动化线缆 [-1279.345/min]	自适应控制单元 [255.869/min]
磁场发生器	装配站 x 33.774	0	-1701.1MW	电磁控制杆 [-84.436/min]; 多功能框架 [-211.091/min]	磁场发生器 [84.436/min]
组装编导系统	装配站 x 68.232	0	-3436.6MW	超级计算机 [-127.934/min]; 自适应控制单元 [-255.869/min]	组装编导系统 [127.934/min]
热能推进火箭	制造站 x 22.568	0	-4167.8MW	冷却系统 [-169.261/min]; 焊接模块化框架 [-56.42/min]; 涡轮马达 [-56.42/min]; 模块化引擎 [-141.051/min]	热能推进火箭 [56.42/min]
核意面	粒子加速站 x 22.568	0	-75778.2MW	封压方块 [-28.21/min]; 铜粉 [-5642.035/min]	核意面 [28.21/min]
定子	装配站 x 208.383	0	-10495.5MW	钢管 [-7814.372/min]; 电线 [-20838.325/min]	定子 [2604.791/min]
硫磺（铁）	转化站 x 10.368	0	-8703.2MW	铁矿石 [-7775.88/min]; 活性SAM物质 [-259.196/min]	硫磺 [3110.352/min]
硫酸	精炼站 x 6.048	0	-609.2MW	水 [-756/min]; 硫磺 [-756/min]	硫酸 [756/min]
叠加态振荡器	量子编码站 x 15.782	0	-52992.5MW	激发态光子物质 [-4931.923/min]; 复合铝板 [-1775.492/min]; 晶体振荡器 [-197.277/min]; 暗物质晶体 [-1183.661/min]	叠加态振荡器 [197.277/min]; 暗物质残渣 [4931.923/min]
神经量子处理器	量子编码站 x 11.258	0	-37802.1MW	激发态光子物质 [-2110.905/min]; 时间水晶 [-422.181/min]; 超级计算机 [-84.436/min]; F金三角 [-1266.543/min]	暗物质残渣 [2110.905/min]; 神经量子处理器 [84.436/min]
时间水晶	转化站 x 161.635	0	-135682.3MW	钻石 [-4849.041/min]	时间水晶 [2424.521/min]
抽水站 (水)	抽水站 x 748.656	0	-50276MW		水 [224596.943/min]
地热发电机 (Impure)	地热发电机 x 9	0	900MW		
地热发电机 (Normal)	地热发电机 x 13	0	2600MW		
地热发电机 (Pure)	地热发电机 x 9	0	3600MW		
3级采矿机 (煤, Impure)	3级采矿机 x 15	0	-2266.5MW		煤 [4500/min]
3级采矿机 (煤, Normal)	3级采矿机 x 31	0	-4684.1MW		煤 [18600/min]
3级采矿机 (煤, Pure)	3级采矿机 x 16	0	-2417.6MW		煤 [19200/min]
3级采矿机 (铝土矿, Impure)	3级采矿机 x 5	0	-755.5MW		铝土矿 [1500/min]
3级采矿机 (铝土矿, Normal)	3级采矿机 x 6	0	-906.6MW		铝土矿 [3600/min]
3级采矿机 (铝土矿, Pure)	3级采矿机 x 6	0	-906.6MW		铝土矿 [7200/min]
3级采矿机 (铜矿石, Impure)	3级采矿机 x 13	0	-1964.3MW		铜矿石 [3900/min]
3级采矿机 (铜矿石, Normal)	3级采矿机 x 29	0	-4381.9MW		铜矿石 [17400/min]
3级采矿机 (铜矿石, Pure)	3级采矿机 x 13	0	-1964.3MW		铜矿石 [15600/min]
3级采矿机 (钦金矿石, Normal)	3级采矿机 x 9	0	-1359.9MW		钦金矿石 [5400/min]
3级采矿机 (钦金矿石, Pure)	3级采矿机 x 8	0	-1208.8MW		钦金矿石 [9600/min]
3级采矿机 (铁矿石, Impure)	3级采矿机 x 39	0	-5892.9MW		铁矿石 [11700/min]
3级采矿机 (铁矿石, Normal)	3级采矿机 x 42	0	-6346.1MW		铁矿石 [25200/min]
3级采矿机 (铁矿石, Pure)	3级采矿机 x 46	0	-6950.5MW		铁矿石 [55200/min]
3级采矿机 (铀, Impure)	3级采矿机 x 3	0	-453.3MW		铀 [900/min]
3级采矿机 (铀, Normal)	3级采矿机 x 2	0	-302.2MW		铀 [1200/min]
3级采矿机 (粗石英, Impure)	3级采矿机 x 3	0	-453.3MW		粗石英 [900/min]
3级采矿机 (粗石英, Normal)	3级采矿机 x 7	0	-1057.7MW		粗石英 [4200/min]
3级采矿机 (粗石英, Pure)	3级采矿机 x 7	0	-1057.7MW		粗石英 [8400/min]
3级采矿机 (SAM物质, Impure)	3级采矿机 x 10	0	-1511MW		SAM物质 [3000/min]
3级采矿机 (SAM物质, Normal)	3级采矿机 x 6	0	-906.6MW		SAM物质 [3600/min]
3级采矿机 (SAM物质, Pure)	3级采矿机 x 3	0	-453.3MW		SAM物质 [3600/min]
3级采矿机 (石灰石, Impure)	3级采矿机 x 15	0	-2266.5MW		石灰石 [4500/min]
3级采矿机 (石灰石, Normal)	3级采矿机 x 50	0	-7554.9MW		石灰石 [30000/min]
3级采矿机 (石灰石, Pure)	3级采矿机 x 29	0	-4381.9MW		石灰石 [34800/min]
3级采矿机 (硫磺, Impure)	3级采矿机 x 6	0	-906.6MW		硫磺 [1800/min]
3级采矿机 (硫磺, Normal)	3级采矿机 x 5	0	-755.5MW		硫磺 [3000/min]
3级采矿机 (硫磺, Pure)	3级采矿机 x 5	0	-755.5MW		硫磺 [6000/min]
油井 (原油, Impure)	油井 x 10	0	-1343.1MW		原油 [1500/min]
油井 (原油, Normal)	油井 x 12	0	-1611.7MW		原油 [3600/min]
油井 (原油, Pure)	油井 x 8	0	-1074.5MW		原油 [4800/min]
资源井增压站 (原油, Islands)	资源井增压站 x 1	0	-503.7MW		原油 [900/min]
资源井增压站 (原油, RedBambooFields)	资源井增压站 x 1	0	-503.7MW		原油 [1350/min]
资源井增压站 (原油, Swamp)	资源井增压站 x 1	0	-503.7MW		原油 [450/min]
资源井增压站 (氮气, AbyssCliff)	资源井增压站 x 1	0	-503.7MW		氮气 [1650/min]
资源井增压站 (氮气, BlueCrater)	资源井增压站 x 1	0	-503.7MW		氮气 [1500/min]
资源井增压站 (氮气, DuneDesert)	资源井增压站 x 1	0	-503.7MW		氮气 [1800/min]
资源井增压站 (氮气, JungleSpires)	资源井增压站 x 1	0	-503.7MW		氮气 [2100/min]
资源井增压站 (氮气, RockyDesert)	资源井增压站 x 1	0	-503.7MW		氮气 [1950/min]
资源井增压站 (氮气, TitanForest)	资源井增压站 x 1	0	-503.7MW		氮气 [3000/min]
--------------------------------------------------------------------------------
Somersloops in amplification	104
Somersloops in APA	0
APA power boost	+0%
Total net power	0MW
Total raw power	1375398.8MW
================================================================================

>> Net products
================================================================================
Item	Net production	Sinkpoints
--------------------------------------------------------------------------------
钚燃料棒	12.6/min.	1930118 pts/min.
组装编导系统	127.934/min.	63989744 pts/min.
弹道跃迁引擎	112.841/min.	326711535 pts/min.
AI拓展伺服器	118.755/min.	70974040 pts/min.
--------------------------------------------------------------------------------
Total sinkpoints		463605438.032
================================================================================

>> Resource summary
================================================================================
Item	Consumption	Utilized
--------------------------------------------------------------------------------
铁矿石	92100/min.	100%
钦金矿石	15000/min.	100%
铜矿石	36900/min.	100%
石灰石	69300/min.	100%
煤	42300/min.	100%
粗石英	13500/min.	100%
硫磺	10800/min.	100%
铀	2100/min.	100%
铝土矿	12300/min.	100%
SAM物质	10200/min.	100%
原油	12600/min.	100%
氮气	12000/min.	100%
水	224596.943/min.	N/A
================================================================================
